,precision,recall,f1-score,support
0,0.9755600814663951,0.98559670781893,0.9805527123848516,486.0
1,0.975609756097561,0.9865470852017937,0.9810479375696767,446.0
2,0.9863945578231292,0.9235668789808917,0.9539473684210527,157.0
accuracy,0.9770431588613406,0.9770431588613406,0.9770431588613406,0.9770431588613406
macro avg,0.9791881317956951,0.9652368906672052,0.9718493394585269,1089.0
weighted avg,0.9771424209278342,0.9770431588613406,0.976919867049788,1089.0

,0,1,2
0,479,5,2
1,6,440,0
2,6,6,145

,precision,recall,f1-score,support
0,0.9755600814663951,0.98559670781893,0.9805527123848516,486.0
1,0.975609756097561,0.9865470852017937,0.9810479375696767,446.0
2,0.9863945578231292,0.9235668789808917,0.9539473684210527,157.0
accuracy,0.9770431588613406,0.9770431588613406,0.9770431588613406,0.9770431588613406
macro avg,0.9791881317956951,0.9652368906672052,0.9718493394585269,1089.0
weighted avg,0.9771424209278342,0.9770431588613406,0.976919867049788,1089.0

,0,1,2
0,479,5,2
1,6,440,0
2,6,6,145

