,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,1,0.7924,"snack, love, bar, price, chip, find, buy, try, eat, would",healthy dog food good digestion also good small puppy dog eats require amount every feeding
1,1,1,0.8169,"snack, love, bar, price, chip, find, buy, try, eat, would",pleased natural balance dog food dog issue dog food past someone recommend natural balance grain free since possible allergic grain since switch issue also helpful different kibble size larger smaller sized dog
2,2,2,0.8764,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",educate feline nutrition allow cat become addicted dry cat food always offer canned dry wish would feed premium quality can food limited dry food two year old cat two year old cat good quality dry food eat wellness innova innova manufacturer recently purchase procter gamble begin look replacement offer several sample local holistic pet store holistic select one usual wellness innova would eat finicky cat recommend try holistic select good quality food palatable finicky eater
3,3,1,0.7952,"snack, love, bar, price, chip, find, buy, try, eat, would",holistic vet recommend along brand try cat prefer especially sardine version best part coat soft clean eye clear want rude say delicately waste far less odorous cat eat mcdonalds junk find store definite plus health benefit obvious highly recommend holistic select
4,4,1,0.8505,"snack, love, bar, price, chip, find, buy, try, eat, would",buy coffee much cheaper ganocafe organic reishi mushroom well healthy antioxidant expect taste good actually day totally worth sister take ganocafe introducing less expensive similar coffee follow product week
5,5,1,0.8142,"snack, love, bar, price, chip, find, buy, try, eat, would",like people mention coffee great taste try different instant coffee one one better one another one favorites want try though organic africafe pure instant coffee
6,6,1,0.8199,"snack, love, bar, price, chip, find, buy, try, eat, would",good tasting light chip value nutrition everyone get munchies good alternative eat potato chip
7,7,0,0.8441,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",grande item delicious fish ultimate flavor best ever purpose sent case mother recently diagnose diabetes love main entree cooking patty
8,8,0,0.8291,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",order product two time happy delivery product work great cook bake substitute sugar chai latte
9,9,0,0.8346,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",stuff great low glycemic substitute sugar body great favor size economical shipping fast get mine soon
10,10,1,0.8393,"snack, love, bar, price, chip, find, buy, try, eat, would",chip one find tasty healthy fewer fat calorie plus higher fiber want good taste nutrition perfect blend
11,11,1,0.7434,"snack, love, bar, price, chip, find, buy, try, eat, would",use buy local supermarket longer carry find amazon purchase box find fresh delicious remember chip also healthy definately buy
12,12,2,0.8531,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",feed liver biscotti year look healthy treat without additive epileptic dog additives seizure trigger liver biscotti fill bill ingredient top quality bite size bit perfect train muck pocket bite size portion also make possible give reward without add pound problem treat dog wheat sensitivity anti allergenic recipe enthusiastically recommend
13,13,1,0.8353,"snack, love, bar, price, chip, find, buy, try, eat, would",get suppose eat gluten flavor taste great seem much healthier regular potato chip look gluten free snack highly recommend popchips
14,14,1,0.8153,"snack, love, bar, price, chip, find, buy, try, eat, would",free sample chip see swap regular chip craving remind munchos less greasy try
15,15,1,0.8203,"snack, love, bar, price, chip, find, buy, try, eat, would",tried chip hotel stay love ordered office everyone enjoy second order
16,16,1,0.8256,"snack, love, bar, price, chip, find, buy, try, eat, would",absolutely love pop chip healthy alternative regular fatty chip seat salt pepper sour cream onion favorite crave regular chip
17,17,1,0.5919,"snack, love, bar, price, chip, find, buy, try, eat, would",pick bag local heb couldnt help consume half bag day entire stock didnt last even week many chip say bold flavor never deliver however try garlic parmessan chip first thing think strong delicious parmessan shortly follow garlic flavor combine sharp crunch enough chip almost afraid buy pack know last month also help thing pretty healthy mean potato crisp entirely guilt free knock town avoid potato chip aisle need lay low snack food
18,18,1,0.8068,"snack, love, bar, price, chip, find, buy, try, eat, would",love chip always make great healthy snack stuck work vend machine sustenance
19,19,0,0.8698,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",sun chip substitute usual potato corn whatever chip cook oil salt nearly palatable thought would add heart healthy diet regime good except multi grain style texture sheet plywood
20,20,1,0.8168,"snack, love, bar, price, chip, find, buy, try, eat, would",chip really good fun get variety pack good regular chip probably also nearly fatten bad regular chip give healthier version want chip would highly recommend
21,21,0,0.544,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",try bbq popchips first time love get value pack try flavor love except salt pepper chip great good healthy snack without give taste glad discover salt vinegar favorite cal bag fat bag
22,22,2,0.5876,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",see work family time sure discipline enough make good use although might good technique teach dog appear good tiny healthy reward right visualize use reward follow command train tool surprise tiny treat seem taste good enough miniscule fraction longer small paperclip half wide maybe thick dog little annoyed take give yesterday today come excited get treat look say got kid take ate little later offer another one put floor look hopefully stash larger treat get one back take one think might good reward obey command treat stretch may also good son dog rarely get treat overweight would eat whole entire refrigerator full food allow least would get treat large treat take second probably inhale one second max like fact low fat add salt refine sugar artificial flavor color preservatives say treat bake natural peanut butter
23,23,1,0.8674,"snack, love, bar, price, chip, find, buy, try, eat, would",mom kid older two hard time find snack much sodium come along happyfamily introduce happymunchies thankful find snack low sodium vegetable top organic know free pesticide residue gmos
24,24,0,0.8882,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",love baby food thing little pouch sooooo much easier feed baby toddler son love suck fruit pleased organic healthy nothing add fruit smaller one good let handle love squeeze get thing everywhere older one fee like size rather bigger one plum organic flavor assure eat one sit rather save later also take size airplane without test explosive case bigger pouch also like bpa free little one like order bulk subscribe save make much cheaper store
25,25,0,0.8446,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",love vitamuffins supermarket sell one box muffins instead bought mix box box make muffin instead per muffin mix require water egg work cent per muffin easy make great deal
26,26,1,0.8923,"snack, love, bar, price, chip, find, buy, try, eat, would",generally like vitalicious product corn muffin well calorie bad expect anything like sugar fat laden junk local bakery sell look elsewhere like healthy makeover quite cut bad amount calorie chocolate one indulgence one good bland breakfast treat especially bake fresh kid happy get extra snack approve send school midmorning snack glad get fuel vitamin
27,27,1,0.5537,"snack, love, bar, price, chip, find, buy, try, eat, would",dog prone ear infection lot paw chew vet recommend change diet symptom may due food allergy specifically recommend salmon rice formula unfortunately dog hat salmon rice smelt extremely fishy try lamb rice formula like much better heard numerous good thing wellness dog trainer well pet owner pet store employee dog adjust new food well however tell consider tasty choice probably artificial flavor rather eat something much healthier even sacrifice little taste
28,28,0,0.7902,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",length min cookies great watch video see great really
29,29,1,0.9072,"snack, love, bar, price, chip, find, buy, try, eat, would",actually sojo strongly recommend meat add mix raw cook choose dog arrive coccidia giardia puppy veterinary mismanagement never completely healthy first year life watch get sicker aggressive course antibiotic prednisone inflammatory bowel disease take holistic veterinarian part treatment homemade diet sojo meat plus medication extremely pleased report episodes month reach point consider healthy coat glossy much fluffier finally good weight photo show dramatic improvement much credit sojo take extra time prepare oppose kibble make day worth time take minute total include time meat cook clean completely honest thrilled cooking dog thrill result able feed raw perhaps road vet give preparation time would almost nothing
30,30,1,0.8464,"snack, love, bar, price, chip, find, buy, try, eat, would",also routine bake ingredient put bread along sunflower seed organic wheat flour also put smoothie stir fry dish anything think good price really must healthy diet
31,31,1,0.815,"snack, love, bar, price, chip, find, buy, try, eat, would",try almond crunch delicious healthy snack better chip try agree
32,32,0,0.7777,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",use powder tea powder fruit smoothies provide health benefit green tea love product use plain lemon ginger
33,33,1,0.8115,"snack, love, bar, price, chip, find, buy, try, eat, would",green tea good load antioxidant boost metabolism yadda yadda yadda never quite warmed taste lemon ginger give nice flavor great add packet water bottle without bother brewing
34,34,1,0.7992,"snack, love, bar, price, chip, find, buy, try, eat, would",eat lot cereal include lot high fiber kind oatmeal mini frost shredded wheat raisin bran usually eat need lose instance try healthier option try several kashi cereal appetizing plain one cardboard taste next tried grape nut like horrendous yeast flavor cat food though closer kitty litter texture bring fiberplus antioxidant berry yogurt crunch certainly one better taste high fiber cereal eat like decent health bar broken apart cereal cluster yogurt really help even plain cereal decent enough yes sugar per serve fiber calorie part make especially compare raisin bran frost shredded wheat typically higher sugar calorie yet lower dietary fiber antioxidant nice bonus bottom line add grocery list whenever sale price right
35,35,1,0.8616,"snack, love, bar, price, chip, find, buy, try, eat, would",know science diet refer junk food one higher quality food market lot new organic natural cat food healthy pet crack regardless veterinarian want put year old cat prescription food high count crystal urine comparison science diet mature adult active longevity closest prescription food cat younger one older food seem enjoy graze day indoor cat try best overfeed younger cat issue urine since food happy
36,36,1,0.6081,"snack, love, bar, price, chip, find, buy, try, eat, would",chocolate sandwich creme cooky whonu every bit delicious similar brand healthier true almost sugar fat carb amount best know name brand cooky others note also give fiber noticeably vitamins mineral brand plus really good snack hard stop serve size three cooky guess allow occasional guilty pleasure write bit expensive website try look cooky elsewhere unless want convenience ship door overall awesome chocolate sandwich creme cooky whonu best definitely recommend excellent healthier alternative major name brand type cookie love enjoy
37,37,1,0.6965,"snack, love, bar, price, chip, find, buy, try, eat, would",like brownie mix usually use low fat recipe also add chocolate chip something else otherwise end little bit dry still buy case
38,38,1,0.699,"snack, love, bar, price, chip, find, buy, try, eat, would",brownie good flax seed texture real turn minimize add little whole wheat flour splenda cocoa big improvement guest never complain like first time make brownie
39,39,0,0.8733,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",get first order day ago month old daughter love like gerber mini veggie much cheaper although still cost good bit nutrient fill easy take anywhere travel snack well worth daughter teeth yet problem eat light fluffy yet full flavor
40,40,1,0.7948,"snack, love, bar, price, chip, find, buy, try, eat, would",sure speciality store area stop carry usually sell cake calorie crunchy good like cardboard taste thicker rice cake excellent base make open face sandwich use piece like chip dip etc good price pack month expiration use date
41,41,0,0.8441,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",purchase base others recommendation rice cake delicious thinner usual rice cake supermarket dense full air cover watch weight eat peanut butter calorie serve regular taste exactly highly recommend rice cake
42,42,0,0.7995,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",dry dog food unhealthy even get star diamond natural great food afghan spend many many hour research find
43,43,1,0.8524,"snack, love, bar, price, chip, find, buy, try, eat, would",good snack feel great offer month old easily pick small piece definitely enjoy apple cinnamon taste year old love well would definitely recommend anyone small larger kid
44,44,0,0.5616,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",something eat starve please give real food hungry people kellogg corn flake mill corn sugar malt flavor high fructose corn syrup salt yes course also lot yummy preservative bht synthetic vitamin iron minute quantity nutrition get basically carbs lot sugar almost protein add skim milk get saturate fat little protein whole milk add nutrition include slice banana capful wheat germ like corn flake business enjoy health food poor value cent ounce per package price inner package failure maintain freshness even bigger drawback one think long may take finish ounce stuff use vacuum seal container like kretschmer wheat germ preserve freshness price range hungry really eat wrong stuff something eat starve please give real food hungry people please
45,45,1,0.4955,"snack, love, bar, price, chip, find, buy, try, eat, would",sardine useful item stock time want add bit protein meal without break bank like lower mercury big fish high omega fat skinless one much better taste opinion regular sardine taste bite oily fishy strong fairly neutral absence add oil much salt make versatile sometimes add lemon mayonnaise sandwich fill mix egg oatmeal onion lemon fry fish patty add salad although think roland good liked season skinless sardine also sell amazon even better flavor texture
46,46,0,0.8271,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",store carry product thank goodness still get genisoy soy crisp deep sea salt ounce bag pack
47,47,0,0.8587,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",really surprised tried product find really light fluffy batter think gluten free mean flavorless bisquick pancake mix building stack fluffy pancake family nice healthier diabetic friendly still manage taste great
48,48,1,0.7237,"snack, love, bar, price, chip, find, buy, try, eat, would",year old scottish terrier food allergy wheat girl treat great settle upset stomach dog look forward charcoal bone treat
