,precision,recall,f1-score,support
0,0.9775510204081632,0.98559670781893,0.9815573770491802,486.0
1,0.9756637168141593,0.9887892376681614,0.9821826280623608,446.0
2,0.9863945578231292,0.9235668789808917,0.9539473684210527,157.0
accuracy,0.977961432506887,0.977961432506887,0.977961432506887,0.977961432506887
macro avg,0.9798697650151507,0.9659842748226611,0.9725624578441979,1089.0
weighted avg,0.9780530387472118,0.977961432506887,0.9778329423359227,1089.0

,0,1,2
0,479,5,2
1,5,441,0
2,6,6,145

,precision,recall,f1-score,support
0,0.9775510204081632,0.98559670781893,0.9815573770491802,486.0
1,0.9756637168141593,0.9887892376681614,0.9821826280623608,446.0
2,0.9863945578231292,0.9235668789808917,0.9539473684210527,157.0
accuracy,0.977961432506887,0.977961432506887,0.977961432506887,0.977961432506887
macro avg,0.9798697650151507,0.9659842748226611,0.9725624578441979,1089.0
weighted avg,0.9780530387472118,0.977961432506887,0.9778329423359227,1089.0

,0,1,2
0,479,5,2
1,5,441,0
2,6,6,145

