,precision,recall,f1-score,support
0,1.0,0.9137931034482759,0.9549549549549551,58.0
1,0.9828080229226361,0.9913294797687862,0.9870503597122302,692.0
2,0.9704142011834319,0.967551622418879,0.9689807976366321,339.0
accuracy,0.9797979797979798,0.9797979797979798,0.9797979797979798,0.9797979797979798
macro avg,0.9844074080353561,0.9575580685453137,0.9703287041012724,1089.0
weighted avg,0.9798655335754339,0.9797979797979798,0.9797160024858301,1089.0

,0,1,2
0,53,1,4
1,0,686,6
2,0,11,328

