,precision,recall,f1-score,support
0,0.9853479853479854,0.9243986254295533,0.9539007092198583,291.0
1,0.9269776876267748,0.9956427015250545,0.9600840336134455,459.0
2,0.9845201238390093,0.9380530973451328,0.960725075528701,339.0
accuracy,0.9586776859504132,0.9586776859504132,0.9586776859504132,0.9586776859504132
macro avg,0.9656152656045899,0.9526981414332468,0.9582366061206683,1089.0
weighted avg,0.9604879195026423,0.9586776859504132,0.9586312933110925,1089.0

,0,1,2
0,269,18,4
1,1,457,1
2,3,18,318

