,precision,recall,f1-score,support
0,1.0,0.8793103448275862,0.9357798165137614,58.0
1,0.9744680851063829,0.9927745664739884,0.9835361488904796,692.0
2,0.96996996996997,0.9528023598820059,0.9613095238095238,339.0
accuracy,0.9742883379247016,0.9742883379247016,0.9742883379247016,0.9742883379247016
macro avg,0.9814793516921178,0.9416290903945269,0.9602084964045883,1089.0
weighted avg,0.974427671913165,0.9742883379247016,0.9740736207175744,1089.0

,0,1,2
0,51,2,5
1,0,687,5
2,0,16,323

