,precision,recall,f1-score,support
0,0.931958762886598,0.9300411522633745,0.9309989701338826,486.0
1,0.9448275862068966,0.92152466367713,0.9330306469920544,446.0
2,0.7988165680473372,0.8598726114649682,0.8282208588957056,157.0
accuracy,0.9164370982552801,0.9164370982552801,0.9164370982552801,0.9164370982552801
macro avg,0.8918676390469439,0.9038128091351575,0.8974168253405476,1089.0
weighted avg,0.9180342179931996,0.9164370982552801,0.9170136298348475,1089.0

,0,1,2
0,452,13,21
1,22,411,13
2,11,11,135

