,precision,recall,f1-score,support
0,0.9755600814663951,0.98559670781893,0.9805527123848516,486.0
1,0.9778270509977827,0.9887892376681614,0.983277591973244,446.0
2,0.9863945578231292,0.9235668789808917,0.9539473684210527,157.0
accuracy,0.977961432506887,0.977961432506887,0.977961432506887,0.977961432506887
macro avg,0.979927230095769,0.9659842748226611,0.9725925575930495,1089.0
weighted avg,0.9780505141560242,0.977961432506887,0.9778330221131405,1089.0

,0,1,2
0,479,5,2
1,5,441,0
2,7,5,145

